Year,GDP
1990,141352654305.16
1991,189719984268.49
1992,228778917308.17
1993,236741715015.02
1994,257440000000.0
1995,258031750000.0
1996,272149750000.0
1997,292859000000.0
1998,298948250000.0
1999,283523000000.0
2000,284203750000.0
2001,268696750000.0
2002,97724004251.86
2003,127586973492.18
2004,164657930452.79
2005,198737095012.28
2006,232557260817.31
2007,287530508430.57
2008,361558037110.42
2009,332976484577.62
2010,423627422092.49
2011,530158122010.44
2012,545982375701.13
2013,552025140252.25
2014,526319673731.64
2015,594749285413.21
2016,557532320662.96
2017,643628393281.36
2018,524819892360.18
2019,447754683615.23
2020,385740508436.97
2021,487902572164.35
2022,631133384439.94
2023,640591410663.88
