Year,GDP
1990 [YR1990],141352654305.16
1991 [YR1991],189719984268.49
1992 [YR1992],228778917308.17
1993 [YR1993],236741715015.02
1994 [YR1994],257440000000.00
1995 [YR1995],258031750000.00
1996 [YR1996],272149750000.00
1997 [YR1997],292859000000.00
1998 [YR1998],298948250000.00
1999 [YR1999],283523000000.00
2000 [YR2000],284203750000.00
2001 [YR2001],268696750000.00
2002 [YR2002],97724004251.86
2003 [YR2003],127586973492.18
2004 [YR2004],164657930452.79
2005 [YR2005],198737095012.28
2006 [YR2006],232557260817.31
2007 [YR2007],287530508430.57
2008 [YR2008],361558037110.42
2009 [YR2009],332976484577.62
2010 [YR2010],423627422092.49
2011 [YR2011],530158122010.44
2012 [YR2012],545982375701.13
2013 [YR2013],552025140252.25
2014 [YR2014],526319673731.64
2015 [YR2015],594749285413.21
2016 [YR2016],557532320662.96
2017 [YR2017],643628393281.36
2018 [YR2018],524819892360.18
2019 [YR2019],447754683615.23
2020 [YR2020],385740508436.97
2021 [YR2021],487902572164.35
2022 [YR2022],631133384439.94
2023 [YR2023],640591410663.88
