Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-08-08,2024-08-12 21:13 CEST,BIS,"https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.AR?","https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.AR?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-01-31,F:Free,,A:Normal value,458.81
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-02-28,F:Free,,A:Normal value,456.19
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-03-31,F:Free,,A:Normal value,451.24
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-04-30,F:Free,,A:Normal value,451.91
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-05-31,F:Free,,A:Normal value,448.76
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-06-30,F:Free,,A:Normal value,445.15
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-07-31,F:Free,,A:Normal value,447.71
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-08-31,F:Free,,A:Normal value,440.85
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-09-30,F:Free,,A:Normal value,434.99
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,1994-10-31,F:Free,,A:Normal value,428.11
